invoice_no,taxable_amount,gst_amount,total_amount,date,merchant_id,payment_id
INV-2026-910762,27543.11,4957.76,32500.87,2026-08-21,MERCH_001,pay_4051aa8f3c19
INV-2026-401468,16913.86,3044.5,19958.36,2026-08-11,MERCH_005,pay_b683cbcf27b7
INV-2026-172492,7348.91,1322.8,8671.71,2026-08-21,MERCH_002,pay_108083cf86dc
INV-2026-412704,15779.86,2840.38,18620.24,2026-08-19,MERCH_005,pay_937070a0851a
INV-2026-902759,30450.46,5481.08,35931.54,2026-08-14,MERCH_005,pay_2a06a442420c
INV-2026-25552,37914.16,6824.55,44738.71,2026-08-07,MERCH_002,pay_95065e40f5fb
INV-2026-495298,23268.2,4188.28,27456.48,2026-08-11,MERCH_002,pay_488638c5dd0d
INV-2026-969728,8724.0,1570.32,10294.32,2026-08-21,MERCH_001,pay_80becc2f47d8
INV-2026-160462,16602.49,2988.45,19590.94,2026-08-20,MERCH_002,pay_0cf2ed946a05
INV-2026-92623,8459.26,1522.67,9981.93,2026-08-12,MERCH_004,pay_88895ff61f63
INV-2026-687932,7298.81,1313.78,8612.59,2026-08-26,MERCH_004,pay_261bd5ac4cf8
INV-2026-464834,5577.64,1003.97,6581.61,2026-08-07,MERCH_005,pay_530f7d55f522
INV-2026-555684,35598.47,6407.73,42006.2,2026-08-14,MERCH_002,pay_543426b1b8be
INV-2026-287301,32465.87,5843.86,38309.73,2026-08-22,MERCH_001,pay_f712ca235660
INV-2026-217221,3510.71,631.93,4142.64,2026-08-15,MERCH_005,pay_5a5d4827a195
INV-2026-113298,18263.39,3287.41,21550.8,2026-08-15,MERCH_005,pay_1623b5b7ed74
INV-2026-166218,13443.54,2419.84,15863.38,2026-08-18,MERCH_001,pay_d46b6e17ff3e
INV-2026-305186,5856.21,1054.12,6910.33,2026-08-27,MERCH_002,pay_96ed84f9d599
INV-2026-298715,9485.42,1963.48,11448.9,2026-08-16,MERCH_003,pay_5908a742ac31
INV-2026-197774,17091.08,3076.39,20167.47,2026-08-11,MERCH_004,pay_eecf2af77d7f
INV-2026-55637,29122.7,5242.09,34364.79,2026-08-14,MERCH_004,pay_07e8c5f51f9d
INV-2026-270486,36471.31,6564.84,43036.15,2026-08-21,MERCH_005,pay_60a997dc701f
INV-2026-985545,9117.58,1641.17,10758.75,2026-08-25,MERCH_003,pay_006fd3042d1b
INV-2026-520768,28133.56,5064.04,33197.6,2026-08-12,MERCH_002,pay_d79f8c8f5c62
INV-2026-548719,5142.61,925.67,6068.28,2026-08-15,MERCH_004,pay_78b3e935e4e9
INV-2026-347717,29666.14,5339.9,35006.04,2026-08-06,MERCH_001,pay_a9a2165d8bb6
INV-2026-57559,29483.79,5307.08,34790.87,2026-08-24,MERCH_004,pay_6a53863177e0
INV-2026-445736,13495.88,2429.26,15925.14,2026-08-16,MERCH_001,pay_94d44e6e7cde
INV-2026-966209,22541.3,4057.43,26598.73,2026-08-19,MERCH_003,pay_3b6651ddf2ab
INV-2026-744035,31606.11,5689.1,37295.21,2026-08-18,MERCH_001,pay_f9cb39a6acdb
INV-2026-453510,14463.99,2603.52,17067.51,2026-08-17,MERCH_002,pay_b2274ca3f589
INV-2026-94917,26767.99,4818.24,31586.23,2026-08-28,MERCH_001,pay_9de7167a6775
INV-2026-342489,26166.42,4709.95,30876.37,2026-08-17,MERCH_002,pay_4a175104a7f2
INV-2026-849880,16505.9,2971.06,19476.96,2026-08-22,MERCH_005,pay_bccf902c6449
INV-2026-114554,31686.58,5703.59,37390.17,2026-08-18,MERCH_001,pay_592944b0cc99
INV-2026-437648,30052.85,5409.51,35462.36,2026-08-11,MERCH_004,pay_386945a0f186
INV-2026-886880,31319.6,5637.53,36957.13,2026-08-17,MERCH_005,pay_5846d356a5fe
INV-2026-824086,9173.84,1651.29,10825.13,2026-08-17,MERCH_004,pay_d4b1d4a8b194
INV-2026-703800,8150.98,1467.18,9618.16,2026-08-28,MERCH_005,pay_7f6670904416
INV-2026-915794,36733.78,6612.08,43345.86,2026-08-07,MERCH_004,pay_79a67d25c6a5
INV-2026-980452,24734.07,4452.13,29186.2,2026-08-25,MERCH_004,pay_61ede16cfaa5
INV-2026-961001,25685.45,4623.38,30308.83,2026-08-20,MERCH_001,pay_28e56ea86914
INV-2026-649477,24120.58,4341.71,28462.29,2026-08-09,MERCH_002,pay_080821c43f60
INV-2026-479006,18899.26,3401.87,22301.13,2026-08-17,MERCH_002,pay_c5fbbe3b245f
INV-2026-250701,27376.2,4927.72,32303.92,2026-08-15,MERCH_004,pay_a150f92fe01d
INV-2026-963662,36721.36,6609.84,43331.2,2026-08-25,MERCH_001,pay_0dc6d31e247c
INV-2026-553069,16522.07,2973.97,19496.04,2026-08-14,MERCH_004,pay_23e982b6893c
INV-2026-930608,12884.67,2319.24,15203.91,2026-08-12,MERCH_002,pay_894b4b3dfef1
INV-2026-604032,32014.1,5762.54,37776.64,2026-08-27,MERCH_004,pay_89cac1655979
INV-2026-511260,5297.9,953.62,6251.52,2026-08-26,MERCH_001,pay_8654695bef50
INV-2026-675759,23297.87,4193.62,27491.49,2026-08-17,MERCH_005,pay_79547abe6cdd
INV-2026-530556,12559.61,2260.73,14820.34,2026-08-25,MERCH_004,pay_26424bbd052c
INV-2026-494191,1921.03,345.78,2266.81,2026-08-15,MERCH_003,pay_2e17c91b276c
INV-2026-224628,29171.95,5250.95,34422.9,2026-08-05,MERCH_005,pay_505af511e100
INV-2026-680401,32385.34,5829.36,38214.7,2026-08-12,MERCH_003,pay_41b6bb4c2900
INV-2026-404661,19062.39,2916.55,21978.94,2026-08-24,MERCH_005,pay_eba268023efd
INV-2026-785160,4305.31,774.96,5080.27,2026-08-15,MERCH_004,pay_80fcb38aea5d
INV-2026-837834,7058.2,1270.48,8328.68,2026-08-04,MERCH_001,pay_cb1bd0c42b17
INV-2026-327781,25159.1,4528.64,29687.74,2026-08-28,MERCH_004,pay_17e71958bf26
INV-2026-475906,26585.65,4785.42,31371.07,2026-08-05,MERCH_001,pay_ad7327a2ac44
INV-2026-936023,29636.86,6134.82,35771.68,2026-08-18,MERCH_001,pay_c0e5be9d86f7
INV-2026-366356,15053.26,2709.59,17762.85,2026-08-09,MERCH_005,pay_98423f0ef093
INV-2026-333746,7865.6,1415.81,9281.41,2026-08-23,MERCH_002,pay_aeb620ee9de1
INV-2026-967100,37461.47,6743.07,44204.54,2026-08-05,MERCH_001,pay_bf27e6dcfd73
INV-2026-784973,14368.64,2586.36,16955.0,2026-08-06,MERCH_001,pay_9dc21b6e44ff
INV-2026-513369,27966.53,5033.98,33000.51,2026-08-21,MERCH_004,pay_c33793231ab4
INV-2026-869838,36445.97,6560.27,43006.24,2026-08-07,MERCH_003,pay_9883f8f0d4fe
INV-2026-387129,6349.79,1142.96,7492.75,2026-08-04,MERCH_001,pay_bd3643f842f5
INV-2026-463280,28901.82,5202.33,34104.15,2026-08-15,MERCH_005,pay_70287a9fa56c
INV-2026-73924,13435.14,2418.32,15853.46,2026-08-26,MERCH_004,pay_a6939e906ee9
INV-2026-62335,12414.63,2234.63,14649.26,2026-08-18,MERCH_001,pay_d65d12f674fa
INV-2026-113639,7577.97,1364.03,8942.0,2026-08-11,MERCH_004,pay_e991599c698c
INV-2026-373952,15880.49,2858.49,18738.98,2026-08-18,MERCH_003,pay_a7e8b0ea8848
INV-2026-172798,29346.15,5282.31,34628.46,2026-08-17,MERCH_001,pay_54ffa7e8dc49
INV-2026-189435,24668.44,4440.32,29108.76,2026-08-14,MERCH_004,pay_73cc99e43310
INV-2026-893621,21346.7,3842.41,25189.11,2026-08-09,MERCH_005,pay_e79dd5c75b8d
INV-2026-575161,6811.63,1226.09,8037.72,2026-08-20,MERCH_005,pay_fc600562729a
INV-2026-864121,30355.67,5464.02,35819.69,2026-08-09,MERCH_001,pay_682fe0ee25e5
INV-2026-709876,8222.92,1480.12,9703.04,2026-08-20,MERCH_001,pay_b6d670c87027
INV-2026-12768,3223.86,580.29,3804.15,2026-08-10,MERCH_002,pay_1a91597a69a2
INV-2026-259091,15805.83,2845.05,18650.88,2026-08-28,MERCH_002,pay_ab8e1e1c7869
INV-2026-870950,22889.45,4120.1,27009.55,2026-08-16,MERCH_002,pay_cd9815c585e6
INV-2026-446602,32352.15,5823.39,38175.54,2026-08-25,MERCH_001,pay_4f5cc7bf4847
INV-2026-450729,5928.14,1067.07,6995.21,2026-08-18,MERCH_001,pay_c4b5e2333378
INV-2026-191785,34012.71,6122.29,40135.0,2026-08-25,MERCH_002,pay_e50f3a1d0fed
INV-2026-380828,16302.53,2934.46,19236.99,2026-08-18,MERCH_003,pay_ffb86591a132
INV-2026-723916,27093.98,4876.92,31970.9,2026-08-19,MERCH_005,pay_deb878d7c73d
INV-2026-109513,7391.54,1130.91,8522.45,2026-08-25,MERCH_002,pay_756b868b1c7f
INV-2026-876488,24000.96,4320.17,28321.13,2026-08-07,MERCH_002,pay_ffedc5d8f8d7
INV-2026-804683,8527.47,1534.95,10062.42,2026-08-25,MERCH_001,pay_4d584c616f14
INV-2026-760280,17680.92,3182.56,20863.48,2026-08-28,MERCH_002,pay_9f9f93e284f1
